intput_name;val_fptas;time_fptas;total_nb_of_generated_states;val_iFPTAS;time_iFPTAS;total_nb_of_generated_states
H8-nbT200-001;3446;1523.3885807991028;598015401;3446;1561.8144025802612;597505341
H8-nbT200-002;3511;1513.1848828792572;587783913;3511;1516.0017938613892;587525403
H8-nbT200-003;3511;1490.3597226142883;587783913;3511;1516.6299185752869;587525403
H8-nbT200-004;3511;1487.2366576194763;587783913;3511;1525.5482485294342;587525403
H8-nbT200-005;3511;1489.8689970970154;587783913;3511;1514.443274974823;587525403
H8-nbT200-006;3511;1509.2891232967377;587783913;3511;1534.6356191635132;587525403
H8-nbT200-007;3511;1492.6429514884949;587783913;3511;1523.7081897258759;587525403
H8-nbT200-008;3511;1486.8983297348022;587783913;3511;1521.6798543930054;587525403
H8-nbT200-009;3511;1496.9304296970367;587783913;3511;1519.3737173080444;587525403
H8-nbT200-010;3511;1489.4464046955109;587783913;3511;1538.2075538635254;587525403
