intput_name;val_fptas;time_fptas;total_nb_of_generated_states;val_iFPTAS;time_iFPTAS;total_nb_of_generated_states
H8-nbT200-001;3446;680.0207896232605;798409;3446;672.1696743965149;798409;
H8-nbT200-002;3511;661.178275346756;801608;3511;659.8619883060455;801606;
H8-nbT200-003;3511;654.0823850631714;801608;3511;655.3537399768829;801606;
H8-nbT200-004;3511;652.8739759922028;801608;3511;654.7624864578247;801606;
H8-nbT200-005;3511;650.6940977573395;801608;3511;652.0060696601868;801606;
H8-nbT200-006;3511;648.3245215415955;801608;3511;652.6299111843109;801606;
H8-nbT200-007;3511;652.4539580345154;801608;3511;653.1153047084808;801606;
H8-nbT200-008;3511;656.422963142395;801608;3511;664.3092572689056;801606;
H8-nbT200-009;3511;664.5237123966217;801608;3511;670.4527480602264;801606;
H8-nbT200-010;3511;663.960851430893;801608;3511;668.8612432479858;801606;
H8-nbT200-011;3511;657.9691829681396;801608;3511;660.2666878700256;801606;
H8-nbT200-012;3511;661.8049726486206;801608;3511;669.3932459354401;801606;
H8-nbT200-013;3511;660.5903539657593;801608;3511;666.8800830841064;801606;
H8-nbT200-014;3511;660.5236523151398;801608;3511;660.4828634262085;801606;
H8-nbT200-015;3511;656.5029633045197;801608;3511;686.1763985157013;801606;
H8-nbT200-016;3511;676.6927962303162;801608;3511;667.648145198822;801606;
H8-nbT200-017;3511;657.3647499084473;801608;3511;655.7112321853638;801606;
H8-nbT200-018;3511;652.4369251728058;801608;3511;657.6167945861816;801606;
H8-nbT200-019;3511;652.2051663398743;801608;3511;662.9214172363281;801606;
H8-nbT200-020;3511;662.5042443275452;801608;3511;668.6831414699554;801606;
H8-nbT200-021;3511;662.3132736682892;801608;3511;664.5357933044434;801606;
H8-nbT200-022;3511;658.2887277603149;801608;3511;664.1742601394653;801606;
H8-nbT200-023;3511;663.7525067329407;801608;3511;665.2219853401184;801606;
H8-nbT200-024;3511;658.5951337814331;801608;3511;662.395361661911;801606;
H8-nbT200-025;3511;658.245578289032;801608;3511;665.1075792312622;801606;
H8-nbT200-026;3511;660.7409896850586;801608;3511;665.0519027709961;801606;
H8-nbT200-027;3511;659.6891942024231;801608;3511;662.6365649700165;801606;
H8-nbT200-028;3511;660.989143371582;801608;3511;664.6304750442505;801606;
H8-nbT200-029;3511;659.1489391326904;801608;3511;664.4347388744354;801606;
H8-nbT200-030;3511;658.8117637634277;801608;3511;659.9251892566681;801606;
H8-nbT200-031;3511;660.4353256225586;801608;3511;683.3598334789276;801606;
H8-nbT200-032;3511;664.115437746048;801608;3511;668.2011044025421;801606;
H8-nbT200-033;3511;661.3985612392426;801608;3511;666.9106860160828;801606;
H8-nbT200-034;3511;663.7103314399719;801608;3511;661.408655166626;801606;
H8-nbT200-035;3511;658.8320603370667;801608;3511;663.0021109580994;801606;
H8-nbT200-036;3511;660.133270740509;801608;3511;662.8379735946655;801606;
H8-nbT200-037;3511;665.4922935962677;801608;3511;665.7346682548523;801606;
H8-nbT200-038;3511;663.4838633537292;801608;3511;664.6208655834198;801606;
H8-nbT200-039;3511;663.0574715137482;801608;3511;665.5642075538635;801606;
H8-nbT200-040;3511;662.8813104629517;801608;3511;665.9934380054474;801606;
H8-nbT200-041;3511;660.6393384933472;801608;3511;664.957813501358;801606;
H8-nbT200-042;3511;659.9282836914062;801608;3511;665.7270405292511;801606;
H8-nbT200-043;3511;665.3814325332642;801608;3511;664.1035616397858;801606;
H8-nbT200-044;3511;657.4502627849579;801608;3511;667.0826120376587;801606;
H8-nbT200-045;3511;661.8645915985107;801608;3511;668.1194975376129;801606;
H8-nbT200-046;3511;663.2381436824799;801608;3511;666.2779133319855;801606;
H8-nbT200-047;3511;661.5885944366455;801608;3511;669.4496643543243;801606;
H8-nbT200-048;3511;669.7994439601898;801608;3511;666.3974812030792;801606;
H8-nbT200-049;3511;660.0761349201202;801608;3511;665.1270725727081;801606;
H8-nbT200-050;3511;663.0163338184357;801608;3511;665.312958240509;801606;
